36,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,"595,623.399288773018344492 Ether","$167,971,754.83 (@ $282.01/ETH)","$91,820.64"
37,0x267f70f9b856de226fea5fc1b0a8e319c72ceff5,"586,707.403570952300991673 Ether","$165,457,354.88 (@ $282.01/ETH)","$339,948.14"
38,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,"560,000.00003 Ether","$157,925,600.01 (@ $282.01/ETH)","$69,916.78"
39,0x07ee55aa48bb72dcc6e9d78256648910de513eca,"532,527.711484627140000001 Ether","$150,178,139.92 (@ $282.01/ETH)","$79,330.45"
40,0xc11d52cbb5b19c1802097e448beff8bf35942946,"460,000.308710356867494173 Ether","$129,789,087.10 (@ $282.15/ETH)","$17,049.49"
41,0xe92d1a43df510f82c66382592a047d288f85226f,"450,000.020665726438778778 Ether","$126,967,505.83 (@ $282.15/ETH)","$9,311.75"
42,0x73bceb1cd57c711feac4224d062b0f6ff338501e,"423,909.786772172 Ether","$119,606,146.34 (@ $282.15/ETH)","$7,154.86"
43,0xd273bd546b11bd60214a2f9d71f22a088aafe31b,"400,001.231001001001001001 Ether","$112,804,347.15 (@ $282.01/ETH)",$208.27
44,0xd793281182a0e3e023116004778f45c29fc14f19,"387,625.8340460127644 Ether","$109,368,629.08 (@ $282.15/ETH)","$4,778.15"
45,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,"382,281.930834261539239287 Ether","$107,807,327.31 (@ $282.01/ETH)","$9,965.65"
46,0x231568baa78111377f097bb087241f8379fa18f4,"371,767.813 Ether","$104,894,288.44 (@ $282.15/ETH)","$46,830,323.52"
47,0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,"350,178.019477703 Ether","$98,802,728.20 (@ $282.15/ETH)","$3,305.81"
48,0x850c0224f37f67c471e860375ac8e39fea61e8b0,"346,594.018903857627843313 Ether","$97,791,502.43 (@ $282.15/ETH)","$7,102.47"
49,0xab5801a7d398351b8be11c439e05c5b3259aec9b,"345,003.691484555182911431 Ether","$97,342,791.55 (@ $282.15/ETH)","$51,131.21"
50,0x75ba02c5baf9cc3e9fe01c51df3cb1437e8690d4,"335,463.520096155758481941 Ether","$94,651,032.20 (@ $282.15/ETH)","$6,941.38"
51,0x186549a4ae594fc1f70ba4cffdac714b405be3f9,"330,000.769842 Ether","$93,109,717.21 (@ $282.15/ETH)",$207.73
52,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,"324,999.9993640702403504 Ether","$91,698,749.82 (@ $282.15/ETH)","$6,716.59"
53,0x74660414dfae86b196452497a4332bd0e6611e82,"314,999.99659001 Ether","$88,877,249.04 (@ $282.15/ETH)","$8,798.29"
54,0x3bfc20f0b9afcace800d73d2191166ff16540258,"306,276.272361399926202 Ether","$86,415,850.25 (@ $282.15/ETH)","$6,333.35"
55,0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,"303,491.087702722 Ether","$85,630,010.40 (@ $282.15/ETH)","$2,231.76"
56,0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,"300,001.02 Ether","$84,645,287.79 (@ $282.15/ETH)",$0.00
57,0x059799f2261d37b829c2850cee67b5b975432271,"300,001.00007 Ether","$84,645,282.17 (@ $282.15/ETH)",$0.00
58,0x189b9cbd4aff470af2c0102f365fc1823d857965,"295,144.254613778237029572 Ether","$83,274,951.44 (@ $282.15/ETH)",$207.79
59,0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,"280,000.98098307937 Ether","$79,002,276.78 (@ $282.15/ETH)","$408,742.58"
60,0x8103683202aa8da10536036edef04cdd865c225e,"274,999.999498319920955554 Ether","$77,591,249.86 (@ $282.15/ETH)"," $5,683.28"
61,0xa7efae728d2936e78bda97dc267687568dd593f3,"260,415.552469774 Ether","$73,476,248.13 (@ $282.15/ETH)", $207.73
62,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,"254,248.45391694 Ether","$71,736,201.27 (@ $282.15/ETH)"," $26,488.50"
63,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,"250,000.007045971329543721 Ether","$70,537,501.99 (@ $282.15/ETH)"," $31,213.08"
64,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,"247,902.96764667403173928 Ether","$69,945,822.32 (@ $282.15/ETH)","$3,237.47"
65,0x8cf23cd535a240eb0ab8667d24eedbd9eccd5cba,"235,694.162753570277777777 Ether","$66,501,108.02 (@ $282.15/ETH)"," $4,690.14"
66,0x8432b7ca18308e1ec9e4ef72619fe0f7de13a69e,"223,834.98162652 Ether","$63,155,040.07 (@ $282.15/ETH)",$0.00
67,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,"222,970.168126971611677133 Ether","$62,911,032.94 (@ $282.15/ETH)","$6,362,499.67"
68,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,"218,738.087146753900234436 Ether","$61,716,951.29 (@ $282.15/ETH)","$45,358.72"
69,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,"217,567.707195145070137279 Ether","$61,386,728.59 (@ $282.15/ETH)","$97,258,010.33"
70,0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,"210,001.3552049 Ether","$59,251,882.37 (@ $282.15/ETH)","$10,747.74"
71,0xbfc868b0c0af3885389a2242a2afdb841b78812f,"207,881.821452507059913609 Ether","$58,653,855.92 (@ $282.15/ETH)","$4,296.21"
72,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,"200,000.107035971329543721 Ether","$56,430,030.20 (@ $282.15/ETH)","$4,133.32"
73,0x1ffedd7837bcbc53f91ad4004263deb8e9107540,"200,000 Ether","$56,430,000.00 (@ $282.15/ETH)","$3,100.00"
74,0x657e46adad8be23d569ba3105d7a02124e8def97,"200,000 Ether","$56,430,000.00 (@ $282.15/ETH)","$4,133.32"
75,0x73263803def2ac8b1f8a42fac6539f5841f4e673,"200,000 Ether","$56,430,000.00 (@ $282.15/ETH)","$4,133.36"
76,0x81153b940932f49f42e5719fe9d1ec04e0e5c119,"200,000 Ether","$56,430,000.00 (@ $282.15/ETH)","$4,133.32"
77,0x40f0d6fb7c9ddd9cbc1c02a208380c08cf77189b,"199,580.321715139003028729 Ether","$56,311,587.77 (@ $282.15/ETH)","$3,091.19"
78,0x6047a74d635262fb73ebce6c12bb6b14b3da70b4,"198,861.935888021468115528 Ether","$56,108,895.21 (@ $282.15/ETH)","$4,109.80"
79,0x78b96178e7ae1ff9adc5d8609e000811657993c8,"197,655.830372492861517291 Ether","$55,768,592.54 (@ $282.15/ETH)","$4,084.92"
80,0x5fcfc77882bdb84905350355fee16d6a10e282ac,"197,637.930456914001001001 Ether","$55,763,542.08 (@ $282.15/ETH)",$0.00
81,0xd65bd7f995bcc3bdb2ea2f8ff7554a61d1bf6e53,"197,570.955254713395946452 Ether","$55,744,645.03 (@ $282.15/ETH)","$3,100.00"
82,0x1a71b118ac6c9086f43bcf2bb6ada3393be82a5c,"197,318.216038669381260319 Ether","$55,673,334.66 (@ $282.15/ETH)","$4,077.94"
83,0xfc39f0dc7a1c5d5cd1cdf3b460d5fa99a56abf65,"197,262.329569349759081896 Ether","$55,657,566.29 (@ $282.15/ETH)","$3,100.00"
84,0xd44023d2710dd7bef797a074ecec4fc74fdd52b2,"197,208.193673412831795817 Ether","$55,642,291.84 (@ $282.15/ETH)","$4,075.62"
85,0x7712bdab7c9559ec64a1f7097f36bc805f51ff1a,"196,919.689735125968697724 Ether","$55,560,890.46 (@ $282.15/ETH)","$3,100.00"
86,0x024861e9f89d44d00a7ada4aa89fe03cab9387cd,"196,021.971858480851864083 Ether","$55,307,599.36 (@ $282.15/ETH)","$3,100.00"
87,0x840760aed6bbd878c46c5850d3af0a61afcd09c8,"193,912.342211432075340679 Ether","$54,712,367.35 (@ $282.15/ETH)","$4,015.73"
88,0xd69b0089d9ca950640f5dc9931a41a5965f00303,"192,977.650330836282228225 Ether","$54,448,644.04 (@ $282.15/ETH)","$3,988.19"
89,0xb8808f9e9b88497ec522304055cd537a0913f6a0,"187,253.317604000000000911 Ether","$52,833,523.56 (@ $282.15/ETH)",
